country,year,ageGroup,pct
Japan,1985,70,0.029295
Japan,1985,75,0.038454
Japan,1990,0,0.052598
Japan,1990,5,0.061032
Japan,1990,10,0.069515
Japan,1990,15,0.081761
Japan,1990,20,0.071184
Japan,1990,25,0.065417
Japan,1990,30,0.0632
Japan,1990,35,0.073744
Japan,1990,40,0.086342
Japan,1990,45,0.073082
Japan,1990,50,0.065638
Japan,1990,55,0.062505
Japan,1990,60,0.054504
Japan,1990,65,0.041073
Japan,1990,70,0.030577
Japan,1990,75,0.047829
Japan,1995,0,0.047966
Japan,1995,5,0.05244
Japan,1995,10,0.060024
Japan,1995,15,0.068531
Japan,1995,20,0.079408
Japan,1995,25,0.069848
Japan,1995,30,0.064715
Japan,1995,35,0.062361
Japan,1995,40,0.072451
Japan,1995,45,0.084509
Japan,1995,50,0.071029
Japan,1995,55,0.063398
Japan,1995,60,0.059389
Japan,1995,65,0.050754
Japan,1995,70,0.037105
Japan,1995,75,0.056071
Japan,2000,0,0.046597
Japan,2000,5,0.047663
Japan,2000,10,0.051983
Japan,2000,15,0.059516
Japan,2000,20,0.066778
Japan,2000,25,0.077819
Japan,2000,30,0.069077
Japan,2000,35,0.064002
Japan,2000,40,0.061584
Japan,2000,45,0.071026
Japan,2000,50,0.082273
Japan,2000,55,0.068838
Japan,2000,60,0.061043
Japan,2000,65,0.055872
Japan,2000,70,0.046335
Japan,2000,75,0.069594
Japan,2005,0,0.044409
Japan,2005,5,0.046291
Japan,2005,10,0.047331
Japan,2005,15,0.051835
Japan,2005,20,0.059459
Japan,2005,25,0.066712
Japan,2005,30,0.077091
Japan,2005,35,0.068555
Japan,2005,40,0.063105
Japan,2005,45,0.060829
Japan,2005,50,0.069775
Japan,2005,55,0.079556
Japan,2005,60,0.066578
Japan,2005,65,0.057899
Japan,2005,70,0.051512
Japan,2005,75,0.089062
Japan,2010,0,0.042359
Japan,2010,5,0.043976
Japan,2010,10,0.046561
Japan,2010,15,0.047566
Japan,2010,20,0.05337
Japan,2010,25,0.058326
Japan,2010,30,0.06549
Japan,2010,35,0.076274
Japan,2010,40,0.068081
Japan,2010,45,0.062364
Japan,2010,50,0.060149
Japan,2010,55,0.068757
Japan,2010,60,0.077303
Japan,2010,65,0.064885
Japan,2010,70,0.054737
Japan,2010,75,0.109804
Japan,2015,0,0.041627
Japan,2015,5,0.042655
Japan,2015,10,0.044274
Japan,2015,15,0.047095
Japan,2015,20,0.048288
Japan,2015,25,0.054063
Japan,2015,30,0.058906
Japan,2015,35,0.065937
Japan,2015,40,0.076555
Japan,2015,45,0.068126
Japan,2015,50,0.062121
Japan,2015,55,0.05953
Japan,2015,60,0.067399
Japan,2015,65,0.074683
Japan,2015,70,0.061387
Japan,2015,75,0.127355
Nigeria,1950,0,0.167191
Nigeria,1950,5,0.134228
Nigeria,1950,10,0.115871
Nigeria,1950,15,0.100605
Nigeria,1950,20,0.087451
Nigeria,1950,25,0.075909
Nigeria,1950,30,0.06508
Nigeria,1950,35,0.05433
Nigeria,1950,40,0.046142
Nigeria,1950,45,0.039064
Nigeria,1950,50,0.034785
Nigeria,1950,55,0.028314
Nigeria,1950,60,0.021183
Nigeria,1950,65,0.014553
Nigeria,1950,70,0.008901
Nigeria,1950,75,0.006392
Nigeria,1955,0,0.164239
Nigeria,1955,5,0.133915
Nigeria,1955,10,0.118133
Nigeria,1955,15,0.102911
Nigeria,1955,20,0.087834
Nigeria,1955,25,0.075602
Nigeria,1955,30,0.065559
Nigeria,1955,35,0.056027
Nigeria,1955,40,0.046446
Nigeria,1955,45,0.039102
Nigeria,1955,50,0.032537
Nigeria,1955,55,0.028038
Nigeria,1955,60,0.021448
Nigeria,1955,65,0.01442
Nigeria,1955,70,0.008365
Nigeria,1955,75,0.005423
Nigeria,1960,0,0.167769
Nigeria,1960,5,0.131561
Nigeria,1960,10,0.116852
Nigeria,1960,15,0.103957
Nigeria,1960,20,0.089138
Nigeria,1960,25,0.075358
Nigeria,1960,30,0.064807
Nigeria,1960,35,0.056026
Nigeria,1960,40,0.047555
Nigeria,1960,45,0.039106
Nigeria,1960,50,0.032359
Nigeria,1960,55,0.0261
Nigeria,1960,60,0.021212
Nigeria,1960,65,0.014665
Nigeria,1960,70,0.008405
Nigeria,1960,75,0.005131
Nigeria,1965,0,0.170548
Nigeria,1965,5,0.134838
Nigeria,1965,10,0.114037
Nigeria,1965,15,0.102034
Nigeria,1965,20,0.089454
Nigeria,1965,25,0.076058
Nigeria,1965,30,0.064254
Nigeria,1965,35,0.055078
Nigeria,1965,40,0.047315
Nigeria,1965,45,0.03983
Nigeria,1965,50,0.032227
Nigeria,1965,55,0.025917
Nigeria,1965,60,0.019786
Nigeria,1965,65,0.01463
Nigeria,1965,70,0.008699
Nigeria,1965,75,0.005295
Nigeria,1970,0,0.171768
Nigeria,1970,5,0.137439
Nigeria,1970,10,0.116525
Nigeria,1970,15,0.099156
Nigeria,1970,20,0.087487
Nigeria,1970,25,0.076068
Nigeria,1970,30,0.064595
Nigeria,1970,35,0.054441
Nigeria,1970,40,0.046407
Nigeria,1970,45,0.039566
Nigeria,1970,50,0.032797
Nigeria,1970,55,0.025813
Nigeria,1970,60,0.019703
Nigeria,1970,65,0.013753
Nigeria,1970,70,0.008818
Nigeria,1970,75,0.005665
Nigeria,1975,0,0.178196
Nigeria,1975,5,0.137938
Nigeria,1975,10,0.117565
Nigeria,1975,15,0.100228
Nigeria,1975,20,0.084197
Nigeria,1975,25,0.07372
Nigeria,1975,30,0.064029
Nigeria,1975,35,0.054244
Nigeria,1975,40,0.045465
Nigeria,1975,45,0.038465
Nigeria,1975,50,0.032298
Nigeria,1975,55,0.026084
Nigeria,1975,60,0.019539
Nigeria,1975,65,0.013718
Nigeria,1975,70,0.008354
Nigeria,1975,75,0.005962
Nigeria,1980,0,0.181459
Nigeria,1980,5,0.141973
Nigeria,1980,10,0.116355
Nigeria,1980,15,0.10018
Nigeria,1980,20,0.085282
Nigeria,1980,25,0.071645
Nigeria,1980,30,0.062757
Nigeria,1980,35,0.054005
Nigeria,1980,40,0.045076
Nigeria,1980,45,0.03741
Nigeria,1980,50,0.031168
Nigeria,1980,55,0.025415
Nigeria,1980,60,0.019526
Nigeria,1980,65,0.013515
Nigeria,1980,70,0.008331
Nigeria,1980,75,0.005903
Nigeria,1985,0,0.181462
Nigeria,1985,5,0.147017
Nigeria,1985,10,0.121058
Nigeria,1985,15,0.099259
Nigeria,1985,20,0.083991
Nigeria,1985,25,0.070737
Nigeria,1985,30,0.05926
Nigeria,1985,35,0.052013
Nigeria,1985,40,0.044814
Nigeria,1985,45,0.037198
Nigeria,1985,50,0.030464
Nigeria,1985,55,0.02485
Nigeria,1985,60,0.019439
Nigeria,1985,65,0.013861
Nigeria,1985,70,0.008474
Nigeria,1985,75,0.006102
Nigeria,1990,0,0.175793
Nigeria,1990,5,0.147305
Nigeria,1990,10,0.125656
Nigeria,1990,15,0.103872
Nigeria,1990,20,0.084189
Nigeria,1990,25,0.070761
Nigeria,1990,30,0.059529
Nigeria,1990,35,0.04975
Nigeria,1990,40,0.043475
Nigeria,1990,45,0.037179
Nigeria,1990,50,0.030444
Nigeria,1990,55,0.024347
Nigeria,1990,60,0.019013
Nigeria,1990,65,0.013784
Nigeria,1990,70,0.00868
Nigeria,1990,75,0.006223
Nigeria,1995,0,0.171475
Nigeria,1995,5,0.143354
Nigeria,1995,10,0.126531
Nigeria,1995,15,0.108352
Nigeria,1995,20,0.088551
Nigeria,1995,25,0.071285
Nigeria,1995,30,0.059848
Nigeria,1995,35,0.050229
Nigeria,1995,40,0.04179
Nigeria,1995,45,0.036247
Nigeria,1995,50,0.030584
Nigeria,1995,55,0.024441
Nigeria,1995,60,0.018714
Nigeria,1995,65,0.013539
Nigeria,1995,70,0.00867
Nigeria,1995,75,0.006392
Nigeria,2000,0,0.171586
Nigeria,2000,5,0.140425
Nigeria,2000,10,0.123034
Nigeria,2000,15,0.109068
Nigeria,2000,20,0.09232
Nigeria,2000,25,0.074929
Nigeria,2000,30,0.060239
Nigeria,2000,35,0.050449
Nigeria,2000,40,0.04214
Nigeria,2000,45,0.034807
Nigeria,2000,50,0.02977
Nigeria,2000,55,0.024504
Nigeria,2000,60,0.01871
Nigeria,2000,65,0.013249
Nigeria,2000,70,0.008439
Nigeria,2000,75,0.006332
Nigeria,2005,0,0.17424
Nigeria,2005,5,0.141485
Nigeria,2005,10,0.119997
Nigeria,2005,15,0.105614
Nigeria,2005,20,0.092463
Nigeria,2005,25,0.07768
Nigeria,2005,30,0.06296
Nigeria,2005,35,0.050504
Nigeria,2005,40,0.042095
Nigeria,2005,45,0.034911
Nigeria,2005,50,0.028422
Nigeria,2005,55,0.023701
Nigeria,2005,60,0.018609
Nigeria,2005,65,0.013115
Nigeria,2005,70,0.008137
Nigeria,2005,75,0.006067
Nigeria,2010,0,0.173742
Nigeria,2010,5,0.144826
Nigeria,2010,10,0.120658
Nigeria,2010,15,0.102668
Nigeria,2010,20,0.089277
Nigeria,2010,25,0.07761
Nigeria,2010,30,0.065102
Nigeria,2010,35,0.052658
Nigeria,2010,40,0.04207
Nigeria,2010,45,0.034831
Nigeria,2010,50,0.02849
Nigeria,2010,55,0.022656
Nigeria,2010,60,0.018077
Nigeria,2010,65,0.013153
Nigeria,2010,70,0.008179
Nigeria,2010,75,0.006003
Nigeria,2015,0,0.170738
Nigeria,2015,5,0.145376
Nigeria,2015,10,0.123774
Nigeria,2015,15,0.103368
Nigeria,2015,20,0.086931
Nigeria,2015,25,0.07507
Nigeria,2015,30,0.065169
Nigeria,2015,35,0.054566
Nigeria,2015,40,0.043967
Nigeria,2015,45,0.034901
Nigeria,2015,50,0.028534
Nigeria,2015,55,0.022826
Nigeria,2015,60,0.017409
Nigeria,2015,65,0.012914
Nigeria,2015,70,0.008326
Nigeria,2015,75,0.006131
United States,1950,0,0.109224
United States,1950,5,0.08735
United States,1950,10,0.07334
United States,1950,15,0.071078
United States,1950,20,0.077624
United States,1950,25,0.081565
United States,1950,30,0.076945
United States,1950,35,0.07327
United States,1950,40,0.067688
United States,1950,45,0.053804
United States,1950,50,0.054723
United States,1950,55,0.04838
United States,1950,60,0.04236
United States,1950,65,0.034756
United States,1950,70,0.022438
United States,1950,75,0.025454
United States,1955,0,0.112825
United States,1955,5,0.100741
United States,1955,10,0.081706
United States,1955,15,0.066747
United States,1955,20,0.063872
United States,1955,25,0.071764
United States,1955,30,0.075441
United States,1955,35,0.070915
United States,1955,40,0.066852
United States,1955,45,0.05879
United States,1955,50,0.05215
United States,1955,55,0.047373
United States,1955,60,0.042595
United States,1955,65,0.034942
United States,1955,70,0.024919
United States,1955,75,0.028367
United States,1960,0,0.11142
United States,1960,5,0.103637
United States,1960,10,0.092965
United States,1960,15,0.073704
United States,1960,20,0.061984
United States,1960,25,0.061468
United States,1960,30,0.066753
United States,1960,35,0.069272
United States,1960,40,0.064401
United States,1960,45,0.060609
United States,1960,50,0.055651
United States,1960,55,0.045822
United States,1960,60,0.040853
United States,1960,65,0.034376
United States,1960,70,0.025443
United States,1960,75,0.031642
United States,1965,0,0.099251
United States,1965,5,0.104738
United States,1965,10,0.097566
United States,1965,15,0.08699
United States,1965,20,0.069743
United States,1965,25,0.059437
United States,1965,30,0.058284
United States,1965,35,0.062296
United States,1965,40,0.064187
United States,1965,45,0.059086
United States,1965,50,0.054613
United States,1965,55,0.05031
United States,1965,60,0.03864
United States,1965,65,0.033766
United States,1965,70,0.026755
United States,1965,75,0.034337
United States,1970,0,0.084335
United States,1970,5,0.097133
United States,1970,10,0.100499
United States,1970,15,0.093047
United States,1970,20,0.080359
United States,1970,25,0.06736
United States,1970,30,0.057703
United States,1970,35,0.055317
United States,1970,40,0.059169
United States,1970,45,0.060233
United States,1970,50,0.054577
United States,1970,55,0.049512
United States,1970,60,0.043321
United States,1970,65,0.033167
United States,1970,70,0.026651
United States,1970,75,0.037616
United States,1975,0,0.075259
United States,1975,5,0.081466
United States,1975,10,0.09387
United States,1975,15,0.096857
United States,1975,20,0.089947
United States,1975,25,0.079694
United States,1975,30,0.06587
United States,1975,35,0.054977
United States,1975,40,0.052826
United States,1975,45,0.055608
United States,1975,50,0.05569
United States,1975,55,0.049625
United States,1975,60,0.043596
United States,1975,65,0.037751
United States,1975,70,0.025863
United States,1975,75,0.041103
United States,1980,0,0.072499
United States,1980,5,0.073183
United States,1980,10,0.081359
United States,1980,15,0.092784
United States,1980,20,0.094143
United States,1980,25,0.086895
United States,1980,30,0.077256
United States,1980,35,0.060831
United States,1980,40,0.052185
United States,1980,45,0.048618
United States,1980,50,0.051222
United States,1980,55,0.050817
United States,1980,60,0.044645
United States,1980,65,0.039157
United States,1980,70,0.030755
United States,1980,75,0.043652
United States,1985,0,0.074249
United States,1985,5,0.070177
United States,1985,10,0.071793
United States,1985,15,0.079646
United States,1985,20,0.089418
United States,1985,25,0.091138
United States,1985,30,0.084511
United States,1985,35,0.073331
United States,1985,40,0.058274
United States,1985,45,0.049333
United States,1985,50,0.045594
United States,1985,55,0.047064
United States,1985,60,0.045569
United States,1985,65,0.039395
United States,1985,70,0.031854
United States,1985,75,0.048656
United States,1990,0,0.074879
United States,1990,5,0.071759
United States,1990,10,0.069354
United States,1990,15,0.07147
United States,1990,20,0.077569
United States,1990,25,0.085194
United States,1990,30,0.088223
United States,1990,35,0.080365
United States,1990,40,0.07077
United States,1990,45,0.054626
United States,1990,50,0.046241
United States,1990,55,0.041824
United States,1990,60,0.042504
United States,1990,65,0.040155
United States,1990,70,0.032276
United States,1990,75,0.052791
United States,1995,0,0.07303
United States,1995,5,0.072448
United States,1995,10,0.071997
United States,1995,15,0.06974
United States,1995,20,0.069252
United States,1995,25,0.074979
United States,1995,30,0.084529
United States,1995,35,0.084754
United States,1995,40,0.076275
United States,1995,45,0.065425
United States,1995,50,0.05127
United States,1995,55,0.042464
United States,1995,60,0.037904
United States,1995,65,0.037375
United States,1995,70,0.033101
United States,1995,75,0.055458
United States,2000,0,0.068036
United States,2000,5,0.071973
United States,2000,10,0.072578
United States,2000,15,0.071698
United States,2000,20,0.06853
United States,2000,25,0.069018
United States,2000,30,0.073822
United States,2000,35,0.080924
United States,2000,40,0.079991
United States,2000,45,0.071952
United States,2000,50,0.062129
United States,2000,55,0.047311
United States,2000,60,0.038855
United States,2000,65,0.03362
United States,2000,70,0.031238
United States,2000,75,0.058325
United States,2005,0,0.067192
United States,2005,5,0.065713
United States,2005,10,0.071379
United States,2005,15,0.072426
United States,2005,20,0.070987
United States,2005,25,0.066837
United States,2005,30,0.067431
United States,2005,35,0.071433
United States,2005,40,0.077258
United States,2005,45,0.075931
United States,2005,50,0.0681
United States,2005,55,0.058344
United States,2005,60,0.04376
United States,2005,65,0.035139
United States,2005,70,0.029014
United States,2005,75,0.059057
United States,2010,0,0.065116
United States,2010,5,0.065581
United States,2010,10,0.066836
United States,2010,15,0.070477
United States,2010,20,0.069847
United States,2010,25,0.068414
United States,2010,30,0.065491
United States,2010,35,0.065507
United States,2010,40,0.06856
United States,2010,45,0.073549
United States,2010,50,0.072306
United States,2010,55,0.064093
United States,2010,60,0.054096
United States,2010,65,0.039826
United States,2010,70,0.030473
United States,2010,75,0.059827
United States,2015,0,0.061226
United States,2015,5,0.064123
United States,2015,10,0.064154
United States,2015,15,0.064396
United States,2015,20,0.072377
United States,2015,25,0.06834
United States,2015,30,0.06847
United States,2015,35,0.061301
United States,2015,40,0.064626
United States,2015,45,0.064095
United States,2015,50,0.071311
United States,2015,55,0.068772
United States,2015,60,0.058945
United States,2015,65,0.049814
United States,2015,70,0.035516
United States,2015,75,0.062535
Brazil,1950,0,0.166441
Brazil,1950,5,0.129926
Brazil,1950,10,0.119236
Brazil,1950,15,0.100135
Brazil,1950,20,0.092928
Brazil,1950,25,0.076458
Brazil,1950,30,0.063823
Brazil,1950,35,0.056895
Brazil,1950,40,0.04802
Brazil,1950,45,0.038572
Brazil,1950,50,0.033644
Brazil,1950,55,0.025233
Brazil,1950,60,0.018934
Brazil,1950,65,0.013395
Brazil,1950,70,0.008578
Brazil,1950,75,0.007781
Brazil,1955,0,0.173838
Brazil,1955,5,0.136587
Brazil,1955,10,0.111035
Brazil,1955,15,0.102049
Brazil,1955,20,0.085419
Brazil,1955,25,0.078811
Brazil,1955,30,0.064495
Brazil,1955,35,0.053498
Brazil,1955,40,0.047322
Brazil,1955,45,0.039533
Brazil,1955,50,0.031266
Brazil,1955,55,0.026622
Brazil,1955,60,0.019232
Brazil,1955,65,0.01363
Brazil,1955,70,0.008826
Brazil,1955,75,0.007836
Brazil,1960,0,0.173106
Brazil,1960,5,0.143572
Brazil,1960,10,0.116866
Brazil,1960,15,0.095002
Brazil,1960,20,0.086877
Brazil,1960,25,0.072269
Brazil,1960,30,0.066296
Brazil,1960,35,0.05395
Brazil,1960,40,0.044459
Brazil,1960,45,0.038983
Brazil,1960,50,0.032072
Brazil,1960,55,0.024789
Brazil,1960,60,0.020374
Brazil,1960,65,0.013946
Brazil,1960,70,0.009091
Brazil,1960,75,0.008346
Brazil,1965,0,0.171972
Brazil,1965,5,0.143373
Brazil,1965,10,0.122655
Brazil,1965,15,0.099857
Brazil,1965,20,0.080827
Brazil,1965,25,0.073529
Brazil,1965,30,0.06087
Brazil,1965,35,0.055569
Brazil,1965,40,0.044966
Brazil,1965,45,0.036765
Brazil,1965,50,0.031748
Brazil,1965,55,0.025556
Brazil,1965,60,0.019101
Brazil,1965,65,0.014906
Brazil,1965,70,0.009426
Brazil,1965,75,0.008879
Brazil,1970,0,0.15431
Brazil,1970,5,0.145829
Brazil,1970,10,0.124836
Brazil,1970,15,0.106791
Brazil,1970,20,0.086641
Brazil,1970,25,0.069846
Brazil,1970,30,0.063272
Brazil,1970,35,0.052145
Brazil,1970,40,0.047353
Brazil,1970,45,0.038028
Brazil,1970,50,0.030641
Brazil,1970,55,0.025911
Brazil,1970,60,0.020181
Brazil,1970,65,0.014336
Brazil,1970,70,0.010335
Brazil,1970,75,0.009543
Brazil,1975,0,0.143391
Brazil,1975,5,0.133052
Brazil,1975,10,0.12845
Brazil,1975,15,0.109922
Brazil,1975,20,0.093755
Brazil,1975,25,0.07579
Brazil,1975,30,0.060868
Brazil,1975,35,0.05491
Brazil,1975,40,0.045015
Brazil,1975,45,0.04056
Brazil,1975,50,0.032131
Brazil,1975,55,0.025371
Brazil,1975,60,0.020769
Brazil,1975,65,0.015383
Brazil,1975,70,0.010089
Brazil,1975,75,0.010541
Brazil,1980,0,0.14117
Brazil,1980,5,0.124845
Brazil,1980,10,0.117553
Brazil,1980,15,0.113396
Brazil,1980,20,0.096759
Brazil,1980,25,0.082242
Brazil,1980,30,0.066236
Brazil,1980,35,0.052971
Brazil,1980,40,0.04752
Brazil,1980,45,0.038633
Brazil,1980,50,0.034345
Brazil,1980,55,0.026645
Brazil,1980,60,0.02036
Brazil,1980,65,0.015827
Brazil,1980,70,0.010802
Brazil,1980,75,0.010696
Brazil,1985,0,0.135445
Brazil,1985,5,0.124476
Brazil,1985,10,0.111073
Brazil,1985,15,0.104459
Brazil,1985,20,0.100476
Brazil,1985,25,0.085437
Brazil,1985,30,0.072356
Brazil,1985,35,0.058032
Brazil,1985,40,0.046149
Brazil,1985,45,0.041049
Brazil,1985,50,0.032929
Brazil,1985,55,0.028662
Brazil,1985,60,0.021514
Brazil,1985,65,0.015602
Brazil,1985,70,0.011181
Brazil,1985,75,0.011159
Brazil,1990,0,0.11871
Brazil,1990,5,0.122154
Brazil,1990,10,0.112892
Brazil,1990,15,0.10059
Brazil,1990,20,0.0943
Brazil,1990,25,0.090377
Brazil,1990,30,0.0766
Brazil,1990,35,0.064638
Brazil,1990,40,0.051572
Brazil,1990,45,0.040667
Brazil,1990,50,0.035693
Brazil,1990,55,0.02804
Brazil,1990,60,0.023618
Brazil,1990,65,0.016843
Brazil,1990,70,0.011284
Brazil,1990,75,0.012022
Brazil,1995,0,0.104083
Brazil,1995,5,0.109004
Brazil,1995,10,0.112586
Brazil,1995,15,0.103874
Brazil,1995,20,0.092225
Brazil,1995,25,0.086154
Brazil,1995,30,0.082345
Brazil,1995,35,0.069583
Brazil,1995,40,0.058444
Brazil,1995,45,0.046266
Brazil,1995,50,0.036023
Brazil,1995,55,0.030998
Brazil,1995,60,0.023606
Brazil,1995,65,0.018967
Brazil,1995,70,0.012589
Brazil,1995,75,0.013253
Brazil,2000,0,0.100258
Brazil,2000,5,0.095821
Brazil,2000,10,0.10073
Brazil,2000,15,0.103807
Brazil,2000,20,0.095394
Brazil,2000,25,0.084466
Brazil,2000,30,0.078754
Brazil,2000,35,0.075068
Brazil,2000,40,0.063145
Brazil,2000,45,0.052649
Brazil,2000,50,0.041243
Brazil,2000,55,0.031601
Brazil,2000,60,0.026549
Brazil,2000,65,0.019529
Brazil,2000,70,0.014882
Brazil,2000,75,0.016105
Brazil,2005,0,0.092917
Brazil,2005,5,0.093039
Brazil,2005,10,0.08923
Brazil,2005,15,0.093607
Brazil,2005,20,0.096106
Brazil,2005,25,0.088131
Brazil,2005,30,0.077929
Brazil,2005,35,0.072485
Brazil,2005,40,0.068803
Brazil,2005,45,0.057486
Brazil,2005,50,0.04748
Brazil,2005,55,0.036678
Brazil,2005,60,0.027536
Brazil,2005,65,0.022459
Brazil,2005,70,0.015779
Brazil,2005,75,0.020336
Brazil,2010,0,0.077825
Brazil,2010,5,0.087824
Brazil,2010,10,0.088166
Brazil,2010,15,0.08441
Brazil,2010,20,0.088252
Brazil,2010,25,0.090447
Brazil,2010,30,0.082855
Brazil,2010,35,0.073107
Brazil,2010,40,0.067735
Brazil,2010,45,0.063893
Brazil,2010,50,0.052917
Brazil,2010,55,0.043129
Brazil,2010,60,0.032677
Brazil,2010,65,0.023855
Brazil,2010,70,0.018614
Brazil,2010,75,0.024293
Brazil,2015,0,0.072323
Brazil,2015,5,0.074132
Brazil,2015,10,0.083826
Brazil,2015,15,0.084024
Brazil,2015,20,0.080199
Brazil,2015,25,0.083716
Brazil,2015,30,0.085717
Brazil,2015,35,0.078361
Brazil,2015,40,0.068897
Brazil,2015,45,0.063475
Brazil,2015,50,0.05939
Brazil,2015,55,0.048589
Brazil,2015,60,0.038909
Brazil,2015,65,0.028733
Brazil,2015,70,0.020135
Brazil,2015,75,0.029575
India,1950,0,0.143944
India,1950,5,0.118979
India,1950,10,0.111983
India,1950,15,0.102209
India,1950,20,0.091426
India,1950,25,0.080744
India,1950,30,0.071568
India,1950,35,0.062395
India,1950,40,0.054745
India,1950,45,0.043816
India,1950,50,0.037861
India,1950,55,0.026381
India,1950,60,0.02256
India,1950,65,0.012758
India,1950,70,0.009564
India,1950,75,0.009067
India,1955,0,0.162673
India,1955,5,0.119893
India,1955,10,0.10495
India,1955,15,0.09904
India,1955,20,0.089418
India,1955,25,0.079276
India,1955,30,0.069534
India,1955,35,0.061061
India,1955,40,0.052604
India,1955,45,0.045392
India,1955,50,0.035452
India,1955,55,0.029579
India,1955,60,0.019534
India,1955,65,0.015451
India,1955,70,0.007819
India,1955,75,0.008324
India,1960,0,0.16206
India,1960,5,0.135642
India,1960,10,0.10531
India,1960,15,0.092501
India,1960,20,0.086563
India,1960,25,0.077567
India,1960,30,0.068309
India,1960,35,0.059362
India,1960,40,0.051521
India,1960,45,0.043673
India,1960,50,0.036841
India,1960,55,0.027892
India,1960,60,0.022152
India,1960,65,0.013579
India,1960,70,0.009641
India,1960,75,0.007386
India,1965,0,0.160207
India,1965,5,0.135211
India,1965,10,0.118728
India,1965,15,0.09265
India,1965,20,0.080989
India,1965,25,0.075326
India,1965,30,0.067025
India,1965,35,0.058483
India,1965,40,0.050255
India,1965,45,0.042929
India,1965,50,0.035606
India,1965,55,0.029194
India,1965,60,0.02107
India,1965,65,0.015541
India,1965,70,0.00859
India,1965,75,0.008198
India,1970,0,0.155996
India,1970,5,0.134079
India,1970,10,0.118422
India,1970,15,0.104586
India,1970,20,0.081297
India,1970,25,0.070727
India,1970,30,0.065429
India,1970,35,0.057795
India,1970,40,0.049964
India,1970,45,0.042317
India,1970,50,0.035388
India,1970,55,0.028528
India,1970,60,0.022293
India,1970,65,0.014955
India,1970,70,0.009997
India,1970,75,0.008228
India,1975,0,0.152407
